Product code,Product,Tahun,Ina Value,World Value,RCA 
0711,"Vegetables provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water ...",2017,285,74345,0.14
0712,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared",2017,545,355173,0.06
0811,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not ...",2017,471,201229,0.09
1504,"Fats and oils and their fractions of fish or marine mammals, whether or not refined (excluding ...",2017,1665,56202,1.12
1108,Starches; inulin,2017,2013,76437,0.99
1517,"Margarine, other edible mixtures or preparations of animal or vegetable fats or oils and edible ...",2017,9377,42558,8.32
0907,"Cloves, whole fruit, cloves and stems",2017,228,3187,2.70
1301,"Lac; natural gums, resins, gum-resins, balsams and other natural oleoresins",2017,416,11242,1.40
1515,"Fixed vegetable fats and oils, incl. jojoba oil, and their fractions, whether or not refined, ...",2017,276,137589,0.08
0804,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried",2017,1283,376692,0.13
0910,"""Ginger, saffron, turmeric """"curcuma"""", thyme, bay leaves, curry and other spices (excluding ...",2017,1160,130840,0.33
0603,"Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, ...",2017,1218,348599,0.13
1207,"Other oil seeds and oleaginous fruits, whether or not broken (excluding edible nuts, olives, ...",2017,118,232219,0.02
1106,"""Flour, meal and powder of peas, beans, lentils and other dried leguminous vegetables of heading ...",2017,357,12763,1.06
0801,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",2017,854,118379,0.27
1212,"Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or ...",2017,1660,316188,0.20
0803,"Bananas, incl. plantains, fresh or dried",2017,1246,849307,0.06
1211,"Plants and parts of plants, incl. seeds and fruits, of a kind used primarily in perfumery, ...",2017,1289,272931,0.18
0602,"Live plants incl. their roots, cuttings and slips; mushroom spawn (excluding bulbs, tubers, ...",2017,1274,108558,0.44
0709,"""Other vegetables, fresh or chilled (excluding potatoes, tomatoes, alliaceous vegetables, edible ...",2017,703,394687,0.07
